"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2021*""","""Grave""","11,1"
"""Totaal wel of niet geregistreerd""","""2019""","""'s-Gravenhage (gemeente)""","462,6"
"""Totaal wel of niet geregistreerd""","""2020""","""'s-Gravenhage (gemeente)""",470
"""Totaal wel of niet geregistreerd""","""2021*""","""'s-Gravenhage (gemeente)""","474,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Groningen (gemeente)""","207,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Groningen (gemeente)""","209,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Groningen (gemeente)""","210,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Gulpen-Wittem""",13
"""Totaal wel of niet geregistreerd""","""2020""","""Gulpen-Wittem""","12,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Gulpen-Wittem""",13
"""Totaal wel of niet geregistreerd""","""2019""","""Haaksbergen""","21,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Haaksbergen""","21,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Haaksbergen""","21,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Haarlem""","139,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Haarlem""","140,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Haarlem""","140,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Haarlemmermeer""","133,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Haarlemmermeer""","135,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Haarlemmermeer""","137,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Halderberge""","26,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Halderberge""","26,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Halderberge""",27
"""Totaal wel of niet geregistreerd""","""2019""","""Hardenberg""","52,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Hardenberg""","52,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Hardenberg""","53,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Harderwijk""","40,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Harderwijk""","41,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Harderwijk""",42
"""Totaal wel of niet geregistreerd""","""2019""","""Hardinxveld-Giessendam""","15,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Hardinxveld-Giessendam""","15,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Hardinxveld-Giessendam""","15,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Harlingen""",14
"""Totaal wel of niet geregistreerd""","""2020""","""Harlingen""",14
"""Totaal wel of niet geregistreerd""","""2021*""","""Harlingen""","14,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Hattem""","10,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Hattem""","10,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Hattem""","10,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Heemskerk""","34,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Heemskerk""","34,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Heemskerk""","34,7"
